Product URL,Product Name,Product Price,Rating,Number Of Reviews
https://www.amazon.in/dp/B07H3XGZSD/ref=sspa_dk_detail_6?ie=UTF8&psc=1&smid=APBFC7AMQ4Q38&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"EUME GenX Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" Laptop (Peacock)","? 4,410.00",3.9 out of 5,81
https://www.amazon.in/dp/B0B9T7PD7T/ref=sspa_dk_detail_0?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue),"? 1,100.00",4 out of 5,5
https://www.amazon.in/dp/B09D3YJ9WX/ref=sspa_dk_detail_1?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,Harissons Bags Volt 15.6 inch Office Laptop Backpacks for Men and Women,"? 1,358.00",4.3 out of 5,136
https://www.amazon.in/dp/B085C8DDB7/ref=sspa_dk_detail_2?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,The Clownfish 16 litres Unisex Polyester Outdoor Travel Laptop Backpack fits 15.6 inch Laptop (Black),"? 2,119.00",3.9 out of 5,114
https://www.amazon.in/dp/B09QL66G55/ref=sspa_dk_detail_3?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,WILDHORN 31L Water Resistant Office Laptop Bag / Backpack for Men / Women I Travel / Business / College Bookbags Fit 15.6 Inch Laptop,? 509.00,4.1 out of 5,53
https://www.amazon.in/dp/B09WZKHSDR/ref=sspa_dk_detail_4?ie=UTF8&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",? 499.00,3.7 out of 5,92
https://www.amazon.in/dp/B0B68Y7H6F/ref=sspa_dk_detail_5?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"uppercase Medium 14L Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","? 1,100.00",4.7 out of 5,45
https://www.amazon.in/dp/B0B5N9TY9C/ref=sspa_dk_detail_6?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"uppercase Medium 19L Laptop Backpack 1600EBP1 Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty","? 1,000.00",4.5 out of 5,56
https://www.amazon.in/dp/B07D5VPW75/ref=sspa_dk_detail_7?ie=UTF8&psc=1&smid=APBFC7AMQ4Q38&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,"EUME GenX Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" Laptop (Green)","? 4,410.00",3.9 out of 5,81
https://www.amazon.in/dp/B084LFS4G1/ref=sspa_dk_detail_8?ie=UTF8&psc=1&s=computers&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw,FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Navy Blue Oxford Fabric),"? 1,499.00",4.4 out of 5,1264
